Vaginal;vaginal microbiome samples;vaginal microbiota;vaginal microbiome;estrous cycle;genital nerve;female sexual dysfunction (fsd);posterior fornix of vagina;;vagina;;;;;;;;;
Gut;gut metabolites;gut microbiome;gut metagenome;gut microbiota;mucin;butyrate;ileum;cecum;probiotics;inflammatory bowel disease;necrotizing enterocolitis (nec);cecum microbiota;gastrointestinal motility;intestinal inflammation;gut metabolites;intestinal microbiota;gastrointestinal tract;ceca
Fecal;fecal samples;fecal sample;feces metagenome;feces;;;;;;;;;;;;;;
Oral;salivary protein;labial glands;submandibular gland;oral samples;dental caries;caries;buccal mucosa;dorsum of tongue;gingiva;palatine tonsil;portion of saliva;;;;;;;
Skin;skin microbiome;forehead;;;;;;;;;;;;;;;;
Root;root metagenome;root-zone microbial communities;lateral roots;root endosphere;spruce roots microbial communities;;root nodule microbial communities;lateral roots;;;;;;;;;;
Rhizosphere;endophytes;mycorrhiza;rhizosphere;rhizosphere metagenome;spruce rhizosphere microbial communities;;rhizosphere microbial communities;;arbuscular mycorrhizal soil;ectomycorrhizal soil;;;;;;;;
Uterus;endometrial cavity;;;;;;;;;;;;;;;;;
Plant Surface;epiphyte;;;;;;;;;;;;;;;;;
Sclerotia;sclerotia;;;;;;;;;;;;;;;;;
Kidney-Liver;kidney and liver microbiome;;;;;;;;;;;;;;;;;
Xylem;xylem-control metagenome;;;;;;;;;;;;;;;;;
Phyllospehere;phyllosphere;phyllosphere microbial communities;phyllosphere metagenome;shoot metagenome;;;;;;;;;;;;;;
Seed;seed microbial community;seeds;;;;;;;;;;;;;;;;
Rumen;rumen microbiome;;;;;;;;;;;;;;;;;
Nasopharynx;nasopharynx;;;;;;;;;;;;;;;;;
Blood Cell;blood cell;;;;;;;;;;;;;;;;;
External Naris;external naris;;;;;;;;;;;;;;;;;
Ear;left retroauricular crease;right retroauricular crease;;;;;;;;;;;;;;;;
Elbow Pit;right cubital fossa;;;;;;;;;;;;;;;;;
Throat;throat;;;;;;;;;;;;;;;;;
Unknown;unknown;;;;;;;;;;;;;;;;;
Palm;palm_left;palm_right;;;;;;;;;;;;;;;;
